id,sura,aya,translation,footnotes
92,2,85,"Then here you are, killing one another and expelling a group of your people from their homes, aiding one another against them in sin and aggression. And if they come to you as captives, you ransom them, although their expulsion was forbidden to you[37]. Do you then believe in part of the Scripture and deny another part? Then what is the recompense for those who do so among you except disgrace in this life, and on the Day of Resurrection they will be subjected to the severest torment? For Allah is not unaware of what you do.","[37] There were three Jewish tribes who allied themselves with the two Arab tribes of Madinah before Islam: Banū Qaynuqā‘, Banū an-Nadīr and Banū Qurayzah. In their prolonged feuds, the Jewish clans fought alongside their allies against their brethren."
93,2,86,"These are the people who have purchased the life of this world for the Hereafter; their punishment will not be lightened, nor will they be helped.",
94,2,87,"We gave Moses the Scripture and sent a succession of messengers after him. We gave Jesus, the son of Mary, clear signs and strengthened him with the Holy Spirit[38]. Is it that every time a messenger comes to you [O Israelites] with something against your desires, you become arrogant; some of them you rejected, and others you killed?","[38] i.e., the Angel Gabriel (عليه السلام)."
95,2,88,"They say, “Our hearts are wrapped.” Nay, Allah has cursed them for their disbelief, little is it that they believe.",
96,2,89,"Now that there has come to them a Book from Allah[39], confirming that which is with them[40] – although they used to pray for victory over the disbelievers in the past. But when there came to them what they recognize [to be true], they rejected it. May the curse of Allah be upon the disbelievers!","[39] i.e., the Qur’an.
 [40] i.e., the Jews."
97,2,90,"How miserable is the price for which they sold their souls – disbelieving in Allah’s revelation out of jealous hatred that Allah would send down His grace to whom He wills of His slaves! Thus they have incurred wrath upon wrath[41], and for the disbelievers, there will be a disgracing punishment.",[41] They deserved double wrath: firstly for their earlier rebelliousness and then for denying Muhammad (ﷺ).
98,2,91,"When it is said to them, “Believe in what Allah has sent down[42],” they say, “We only believe in what was sent down to us[43],” and they deny what came afterwards, although it is the truth confirming that which is with them. Say, “Then why did you kill the prophets of Allah before, if you were truly believers?”","[42] i.e., the Qur’an. [43] i.e., the Torah."
99,2,92,"Moses came to you with clear signs, yet you took the calf [for worship] in his absence, while you were wrongdoers.",
100,2,93,"And [remember] when We took a covenant from you and We raised above you the mountain [saying], “Hold firmly to what We have given you and obey,” they said, “We hear and disobey.” The love of [worshiping] the calf was engraved in their hearts because of their disbelief. Say, “How wretched is what your faith enjoins you, if you are believers!”",
101,2,94,"Say, “If the Home of the Hereafter with Allah is only for you [O Israelites] among all humans, then wish for death, if you are truthful.”",
102,2,95,But they will never wish for that because of what their hands have sent forth. And Allah is All-Knowing of the wrongdoers.,
103,2,96,"And you will surely find them the most greedy people for life, even more than the polytheists. Each one of them wishes to have a life of a thousand years. Even if they were granted such a long life, it would not save them from the punishment; for Allah is All-Seeing of what they do.",
104,2,97,"Say [O Prophet], “Whoever is an enemy to Gabriel – it is he who brings down this [Qur’an] to your heart by Allah’s permission, confirming what came before it, and a guidance and glad tidings for the believers.”",
105,2,98,"Whoever is an enemy to Allah and His angels and messengers, and to Gabriel and Michael – then Allah is indeed an enemy to the disbelievers.",
106,2,99,"We have sent down to you clear proofs, and none will reject them except the evildoers.",
107,2,100,"Is it that every time they ratify a covenant, a party of them cast it aside? In fact, most of them do not believe.",
108,2,101,"And when a messenger[44] from Allah came to them – confirming what was with them, a party of the People of the Book cast Allah’s Scripture behind their backs as if they did not know.","[44] i.e., Muhammad (ﷺ)."
109,2,102,"They followed what was recited by the devils during the kingdom of Solomon. It was not Solomon who disbelieved, but the devils disbelieved, teaching people magic and that which was revealed to the two angels Hārūt and Mārūt in Babylon. But these two angels did not teach anyone without telling them, “We are only a test, so do not disbelieve.” Yet they would learn from them what would cause separation between a man and his wife. But they could not harm anyone except by Allah’s permission. They would learn what harmed them and did not benefit them, although they already knew that whoever gets into it would not have any share in the Hereafter. How terrible was the price for which they sold themselves, if only they knew!",
110,2,103,"If only they had believed and feared Allah, they would have had a better reward from Allah, if only they knew!",
111,2,104,"O you who believe, do not say, “Rā‘inā,” [i.e., consider our situation!] But say, “Unzhurnā,” [i.e., wait for us!] and listen. And for the disbelievers there will be a painful torment.",
112,2,105,"Neither those who disbelieved from the People of the Book nor the polytheists wish that your Lord sends down any good to you [O Muslims]. But Allah chooses for His mercy whom He wills, for Allah is the possessor of great bounty.",
113,2,106,We do not abrogate a verse or cause it to be forgotten except that We bring a better one or similar to it. Do you not know that Allah is Most Capable of all things?,
114,2,107,"Do you not know that to Allah belongs the dominion of the heavens and earth, and that you have no protector or supporter besides Allah?",
115,2,108,Or would you like to question your Messenger as Moses was questioned before? Whoever exchanges faith for disbelief has indeed strayed from the sound path.,
116,2,109,"Many of the people of the Book wish they could turn you back to disbelief after you have believed, out of the envy in their hearts, after the truth has become evident to them. But pardon and overlook until Allah passes His decree[45], for Allah is Most Capable of all things.","[45] The provision of this verse has been abrogated, as Allah passed His decree."
117,2,110,"And establish prayer and give zakah. Whatever good you send forth for yourselves, you will find it with Allah, for Allah is All-Seeing of what you do.",
118,2,111,"And they say, “None will enter Paradise except a Jew or a Christian.” That is their wishful thinking. Say, “Produce your proof, if you are truthful.”",
119,2,112,"On the contrary, whoever submits himself to Allah and is a doer of good will have his reward with his Lord. They will have no fear, nor will they grieve.",
120,2,113,"The Jews say, “The Christians have nothing to stand on” and the Christians say, “The Jews have nothing to stand on[46],” although they both recite the Scripture. And those [pagans] who have no knowledge say something similar. Allah will judge between them on the Day of Resurrection concerning that over which they used to differ.","[46] This incident is documented when the Christians of Najrān came to the Messenger of Allah, the rabbis met them and both parties disputed."
121,2,114,Who does greater wrong than the one who prevents Allah’s name to be mentioned in His mosques and strives for their destruction? Such people do not deserve to enter them except in fear[47]. There is a disgrace for them in this world and a great punishment in the Hereafter.,[47] Fear of divine justice or the believers will seize them.
122,2,115,"To Allah belong the east and the west; wherever you turn, there is the Face of Allah[48]. For Allah is All-Encompassing, All-Knowing.","[48] i.e., the direction of prayer (Qiblah). This is by way of consolation to the believers that one can find Allah wherever one turns in case of mistake, or prayer of those who prayed to the direction of Jerusalem, etc."
123,2,116,"They say, “Allah has taken a son[49]”. Glory be to Him! Rather, to Him belongs all that is in the heavens and earth – all are devoutly obedient to Him.","[49] The Jews claimed that Ezra was the son of God, the Christians claimed that Jesus was the son of God, and the Arab pagans claimed that the angels were God’s daughters."
124,2,117,"The Originator of the heavens and earth. When He decrees a matter, He only says to it, “Be,” and it is.",
125,2,118,"Those who have no knowledge[50] say, “If only Allah would speak to us or a sign be given to us.” Those who came before them said similar words. Their hearts are all alike. We have made the signs clear to people who have sure faith.","[50] These are from Arab pagans and from the people of the Book, elsewhere called ‘the illiterates’."
126,2,119,"We have sent you with the truth [O Prophet] as a bearer of glad tidings and a warner, and you will not be questioned about the people of the Blazing Fire.",
127,2,120,"The Jews and the Christians will never be pleased with you until you follow their religion. Say, “The guidance of Allah is the [true] guidance.” If you were to follow their desires after the knowledge that has come to you, then you would have no protector or helper against Allah.",
128,2,121,"Those to whom We have given the Book recite it as it should be recited, it is they who believe in it. As for those who disbelieve in it, it is they who are the losers.",
129,2,122,"O Children of Israel, remember My blessings that I bestowed upon you, and that I favored you over all other people.",
130,2,123,"And beware of the Day when no one will avail another in any way; no compensation will be accepted, and no intercession will benefit it, nor will they be helped.",
131,2,124,"And [remember] when Abraham was tested by his Lord with certain words, which he fulfilled[51]. Allah said, “I will make you a leader for mankind.” He said, “And from among my descendants?” Allah said, “My covenant does not include the wrongdoers.”","[51] Allah assigned some tasks and commandments for Abraham (عليه السلام) to carry out, which he fulfilled dutifully."
132,2,125,"And [remember] when We made the House [i.e., Ka‘bah] a focal point and a sanctuary for the people. “[O believers], take the Station of Abraham as a place for prayer.” We charged Abraham and Ishmael to purify My House for those who perform circumambulation[52] or stay for worship, or those who bow down and prostrate.",[52] A form of worship particular to the Ka‘bah consisting of going around it in circuits.
133,2,126,"And [remember] when Abraham said, “My Lord, make this city [of Makkah] a sanctuary and provide its people with fruits – those among them who believe in Allah and the Last Day.” [Allah] said, “As for those who disbelieve, I will grant them enjoyment for a short while, then I will force them into the punishment of the Fire. What a terrible destination!”",
134,2,127,"And [remember] when Abraham was raising the foundations of the House and Ishmael, [saying], “Our Lord, accept this from us, for You are the All-Hearing, the All-Knowing.",
135,2,128,"Our Lord, make us both submitted to You and from our descendants a nation submitted to You; and show us our rituals[53] and accept our repentance. You are the Accepter of Repentance, Most Merciful.",[53] The rituals of Hajj and ‘Umrah.
136,2,129,"Our Lord, send among them a messenger[54] to recite to them Your revelations, teach them the Book and wisdom, and purify them. You are the All-Mighty, the All-Wise.”","[54] The Messenger from the posterity of Ishmael; i.e., Muhammad (ﷺ)."
137,2,130,"Who would forsake the religion of Abraham[55] except a fool! We have chosen him in this world, and in the Hereafter he will be among the righteous.","[55] The ‘religion of Abraham’, known as hanīfiyyah, is the most primordial, pristine and uncorrupted of all divine religions. The Qur’an underlines Islam’s close relation to it in various places."
138,2,131,"When his Lord said to him, “Submit[56],” he said, “I have submitted to the Lord of the worlds.”","[56] The meaning of the word ""Islam"" is ""submission to the will of Allah."" This is ordained by Allah and taught by all of the prophets from Adam to Muhammad (ﷺ). A Muslim is one who submits himself to Allah."
139,2,132,"This was enjoined by Abraham and Jacob to their offspring, “O my children, Allah has chosen for you this religion; so do not die except as Muslims.”",
140,2,133,"Or were you present when death approached Jacob, when he said to his children, “What will you worship after me”? They said, “We will worship your God and the God of your fathers – Abraham, Ishmael[57], and Isaac – the One God. And to Him we submit.”",[57] Ishmael was actually Jacob’s paternal uncle. They counted him among Jacob’s ‘fathers’ out of respect.
141,2,134,"That was a nation that has passed on; they will have what they earned and you will have what you earned, and you will not be questioned concerning what they used to do.",
142,2,135,"They say, “Be Jews or Christians to be guided.” Say, “Rather [we follow] the religion of Abraham, the monotheist, and he was not one of the polytheists[58].”","[58] i.e., those who associate others with Allah in worship."
143,2,136,"Say [O believers], “We believe in Allah and what has been sent down to us; and what was sent down to Abraham, Ishmael, Isaac, Jacob, and the descendants [of Jacob][59]; and what was given to Moses and Jesus; and what was given to the prophets from their Lord. We make no distinction between any of them, and to Him we have submitted.”","[59] i.e., the twelve tribes of Israel descended from Jacob."
144,2,137,"If they believe as you have believed, then they are guided. But if they turn away, then they are in plain dissension. Allah will suffice you against them, and He is the All-Hearing, the All-Knowing.",
145,2,138,This is the natural religion[60] of Allah. Who is better than Allah in [enjoining a] religion? And it is He Whom we worship.,[60] “Sibghah” linguistically means ‘color’. It is so called because religious devoutness shows on the person as much as a dye of cloth shows on it.
146,2,139,"Say, “Do you [People of the Book] argue with us concerning Allah, when He is our Lord and your Lord? We are responsible for our deeds and you for yours, and we are sincerely devoted to Him.",
147,2,140,"Or do you say that Abraham, Ishmael, Isaac, Jacob, and the descendants [of Jacob] were Jews or Christians?” Say, “Are you more knowledgeable or Allah?” Who does greater wrong than the one who hides a testimony he has from Allah? But Allah is not unaware of what you do.",
148,2,141,"That was a nation that has passed on; they will have what they earned and you will have what you earned, and you will not be questioned concerning what they used to do.",
149,2,142,The foolish among the people will say: “What has turned them away from their prayer direction they used to face[61]?” Say: “To Allah belong the east and west: He guides whom He wills to a straight path.”,"[61] Prior to the command (in verse 144) that the Prophet (ﷺ) and his followers turn toward the Ka‘bah in Makkah for prayer, they had been facing Jerusalem to the north. Further details are mentioned in succeeding verses."
150,2,143,"Thus We made you a balanced nation, so that you may be witnesses over mankind and the Messenger a witness over you. We did not change your former direction of prayer [to the Ka‘bah] except to distinguish those who would follow the Messenger from those who would turn back on their heels. It was surely burdensome except for those whom Allah guided. Allah would never let your [acts of] faith go to waste, for Allah is Most Gracious and Most Merciful to all people.",
151,2,144,"We see the turning of your face [O Prophet] towards heaven[62]; We will surely make you turn towards a prayer direction that will please you. So turn your face towards the Sacred Mosque [in Makkah], and wherever you are, turn your faces towards it. Those who were given the Scripture know that this is the truth from their Lord, and Allah is not unaware of what they do.",[62] The Prophet (ﷺ) was awaiting the command to change the qiblah; so he used to look up at the sky.
152,2,145,"Even if you were to bring every proof to those who have been given the Scripture, they would not follow your prayer direction, nor would you follow their prayer direction; nor would any of them follow the prayer direction of the other. However, if you were to follow their desires after the knowledge that has come to you, then you would surely be among the wrongdoers.",
153,2,146,"Those whom We gave the Scripture recognize him [i.e., the Prophet] as they recognize their own sons, yet a group of them conceals the truth knowingly[63].",[63] That the Ka‘bah is the correct direction of Prayer.
154,2,147,It is the truth from your Lord; so never be among those who doubt.,
155,2,148,"Every nation has a direction to which it turns, so compete with one another in good deeds. Wherever you are, Allah will bring you all together, for Allah is Most Capable of all things.",
156,2,149,"From wherever you set out, turn your face to the direction of the Sacred Mosque [in Makkah]. This is surely the truth from your Lord, and Allah is not unaware of what you do.",
157,2,150,"From wherever you set out, turn your face towards the Sacred Mosque [i.e., Ka‘bah]. Wherever you are, turn your faces towards it, so that the people should not have any proof against you[64], except for the wrongdoers among them. So do not fear them but fear Me, so that I may complete My favor upon you [all] and that you may be guided.",[64] One of the reasons for the change of qiblah was so that the Jews would have no argument against the Muslims.
158,2,151,"Just as We have sent you a messenger from among you, reciting to you Our verses, purifying you, and teaching you the Book and Wisdom[65], and teaching you what you did not know.",[65] The wisdom taught by the Prophet (ﷺ) is his Sunnah.
159,2,152,"Therefore remember Me; I will remember you[66]. Be grateful to Me, and do not be ungrateful.","[66] Remember Me (by praying, glorifying, etc), and I will remember you (by remembering you and bestowing countless favors on you). Allah says in a Qudsi Hadith: ""...If he remembers Me in himself, I remember him in Myself; and if he remembers Me in a group, I remember him in a group better than them..."" [Al-Bukhāri and Muslim]"
